State	District	First Name	Last Name	Party	Votes	Vote fraction	Winner
CA	47	Rosemarie "Rosie"	Avila	R	31432	0.25434	
CA	47	Robert	Lauten	AIP	6274	0.05077	
CA	48	John	Campbell	R	171658	0.55606	
CA	48	Steve	Young	D	125537	0.40666	
CA	48	Don	Patterson	LBT	11507	0.03728	
CA	49	Darrell	Issa	R	140300	0.58296	
CA	49	Robert	Hamilton	D	90138	0.37453	
CA	49	Lars R.	Grossmith	LBT	10232	0.04251	
CA	50	Brian	Bilbray	R	157502	0.50240	
CA	50	Nick	Leibham	D	141635	0.45178	
CA	50	Wayne	Dunlap	LBT	14365	0.04582	
CA	51	Bob	Filner	D	148281	0.72749	
CA	51	David Lee	Joy	R	49345	0.24209	
CA	51	Dan "Frodo"	Litwin	LBT	6199	0.03041	
CA	52	Duncan D.	Hunter	R	160724	0.56367	
CA	52	Mike	Lumpkin	D	111051	0.38946	
CA	52	Michael	Benoit	LBT	13316	0.04670	
CA	52	Joseph M.	Ryan	W	47	0.00016	
CA	53	Susan A.	Davis	D	161315	0.68487	
CA	53	Michael	Crimmins	R	64658	0.27451	
CA	53	Edward M.	Teyssier	LBT	9569	0.04063	
CO	01	Diana	DeGette	D	203756	0.71935	
CO	01	George C.	Lilly	R	67346	0.23776	
CO	01	Martin L.	Buchanan	LBT	12136	0.04285	
CO	01	Gary	Swing	W	11	0.00004	
CO	02	Jared	Polis	D	215602	0.62597	
CO	02	Scott	Starin	R	116619	0.33859	
CO	02	J. A.	Calhoun	GRE	10031	0.02912	
CO	02	William Robert "Bill"	Hammons	UPA	2176	0.00632	
CO	03	John T.	Salazar	D	203457	0.61613	
CO	03	Wayne	Wolf	R	126762	0.38387	
CO	04	Betsy	Markey	D	187348	0.56197	
CO	04	Marilyn N.	Musgrave	R	146030	0.43803	
CO	05	Hal	Bidlack	D	113027	0.37040	
CO	05	Doug	Lamborn	R	183179	0.60030	
CO	05	Brian X.	Scott	AMC	8894	0.02915	
CO	05	Rich	Hand	W	45	0.00015	
CO	06	Mike	Coffman	R	250877	0.60669	
CO	06	Hank	Eng	D	162641	0.39331	
CO	07	Ed	Perlmutter	D	173937	0.63482	
CO	07	John W.	Lerew	R	100057	0.36518	
CO	S	Mark	Udall	D	1231049	0.52796	
CO	S	Bob	Schaffer	R	990784	0.42492	
CO	S	Douglas "Dayhorse"	Campbell	AMC	59736	0.02562	
CO	S	Bob	Kinsey	GRE	50008	0.02145	
CO	S	Buddy	Moore	W	116	0.00005	
CO	S	Gary	Cooper	W	10	0.00000	
CO	S	Bruce E.	Lohmiller	W	9	0.00000	
CT	01	John B.	Larson	D	194493	0.65806	
CT	01	John B.	Larson	WF	17000	0.05752	
CT	01	Joe	Visconti	R	76860	0.26005	
CT	01	Stephen E.D.	Fournier	GRE	7201	0.02436	
CT	01	Matthew	Coleman	W	3	0.00001	
CT	02	Joe	Courtney	D	198984	0.61597	
CT	02	Joe	Courtney	WF	13164	0.04075	
CT	02	Sean	Sullivan	R	104574	0.32372	
CT	02	G. Scott	Deshefy	GRE	6300	0.01950	
CT	02	Todd	Vachon	W	19	0.00006	
CT	03	Rosa L.	DeLauro	D	204761	0.68858	
CT	03	Rosa L.	DeLauro	WF	25411	0.08545	
CT	03	Bo	Itshaky	R	58583	0.19701	
CT	03	Ralph A.	Ferrucci	GRE	8613	0.02896	
CT	04	Jim	Himes	D	149345	0.48367	
CT	04	Jim	Himes	WF	9130	0.02957	
CT	04	Christopher	Shays	R	146854	0.47560	
CT	04	Michael Anthony	Carrano	LBT	2049	0.00664	
CT	04	Richard Z.	Duffee	GRE	1388	0.00450	
CT	04	Eugene	Flanagan	W	10	0.00003	
CT	05	Chris	Murphy	D	161178	0.53254	
CT	05	Chris	Murphy	WF	18149	0.05997	
CT	05	David J.	Cappiello	R	117914	0.38960	
CT	05	Thomas L.	Winn	I	3082	0.01018	
CT	05	Harold H., II	Burbank	GRE	2324	0.00768	
CT	05	Walter	Gengarelly	W	10	0.00003	
DE	00	Michael N.	Castle	R	235437	0.61080	
DE	00	Karen	Hartley-Nagle	D	146434	0.37990	
DE	00	Mark Anthony	Parks	LBT	3586	0.00930	
DE	S	Joseph R., Jr.	Biden	D	257539	0.64687	
DE	S	Christine	O'Donnell	R	140595	0.35313	
DC	00	Eleanor Holmes	Norton	D	228376	0.92284	
DC	00	Maude Louise	Hills	DCG	16693	0.06745	
DC	00	Scattered		W	2402	0.00971	
FL	01	Jeff	Miller	R	232559	0.70184	
FL	01	James Jim	Bryan	D	98797	0.29816	
FL	02	Allen	Boyd	D	216804	0.61879	
FL	02	Mark	Mulligan	R	133404	0.38076	
FL	02	Robert	Ortiz	W	159	0.00045	
FL	04	Ander	Crenshaw	R	224112	0.65255	
FL	04	Jay	McGovern	D	119330	0.34745	
FL	05	Virginia "Ginny"	Brown-Waite	R	265186	0.61155	
FL	05	John	Russell	D	168446	0.38845	
FL	06	Clifford B. (Cliff)	Stearns	R	228302	0.60888	
FL	06	Tim	Cunha	D	146655	0.39112	
FL	07	John L.	Mica	R	238721	0.62003	
FL	07	Faye	Armitage	D	146292	0.37997	
FL	08	Alan	Grayson	D	172854	0.52011	
FL	08	Ric	Keller	R	159490	0.47989	
FL	09	Gus Michael	Bilirakis	R	216591	0.62171	
FL	09	Bill	Mitchell	D	126346	0.36267	
FL	09	John (Johnny K.)	Kalimnios	NPA	3394	0.00974	
FL	09	Richard O.	Emmons	TLP	2042	0.00586	
FL	09	Andrew	Pasayan	W	5	0.00001	
FL	10	C. W. Bill	Young	R	182781	0.60680	
FL	10	Bob	Hackworth	D	118430	0.39317	
FL	10	Don	Callahan	W	9	0.00003	
FL	11	Kathy	Castor	D	184106	0.71656	
FL	11	Eddie, Jr.	Adams	R	72825	0.28344	
FL	12	Adam H.	Putnam	R	185698	0.57463	
FL	12	Doug	Tudor	D	137465	0.42537	
FL	13	Vern	Buchanan	R	204382	0.55539	
FL	13	Christine	Jennings	D	137967	0.37491	
FL	13	Jan	Schneider	NPA	20289	0.05513	
FL	13	Don	Baldauf	NPA	5358	0.01456	
FL	14	Connie	Mack	R	224602	0.59436	
FL	14	Robert M.	Neeld	D	93590	0.24766	
FL	14	Burt	Saunders	NPA	54750	0.14488	
FL	14	Jeff	George	NPA	4949	0.01310	
FL	15	Bill	Posey	R	192151	0.53099	
FL	15	Stephen	Blythe	D	151951	0.41990	
FL	15	Frank	Zilaitis	NPA	14274	0.03944	
FL	15	Trevor	Lowing	NPA	3495	0.00966	
FL	16	Tom	Rooney	R	209874	0.60093	
FL	16	Tim	Mahoney	D	139373	0.39907	
FL	18	Ileana	Ros-Lehtinen	R	140617	0.57870	
FL	18	Annette	Taddeo	D	102372	0.42130	
FL	19	Robert	Wexler	D	202465	0.66157	
FL	19	Edward J.	Lynch	R	83357	0.27238	
FL	19	Ben	Graber	NPA	20214	0.06605	
FL	20	Debbie Wasserman	Schultz	D	202832	0.77476	
FL	20	Margaret	Hostetter	NPA	58958	0.22520	
FL	20	Marc	Luzietti	W	9	0.00003	
FL	21	Lincoln	Diaz-Balart	R	137226	0.57901	
FL	21	Raul L.	Martinez	D	99776	0.42099	
FL	22	Ron	Klein	D	169041	0.54679	
FL	22	Allen	West	R	140104	0.45319	
FL	22	Piotr	Blass	W	6	0.00002	
